Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools,Min_Exp,Max_Exp
Senior Backend Engineer,Sabika,"Maadi, Cairo",Experienced (Non-Manager),5 to 10 years,Backend Development | Node.js | Express.js | NestJS | TypeScript | JavaScript | REST API | API Development | System Design | System Architecture | PostgreSQL | MySQL | Redis | MongoDB | Docker | CI/CD | AWS | Git | Application Security | OWASP | Secure Coding | JWT | Authentication | Fintech | Payment Gateway Integration | Third-Party Integration | Odoo | Firebase | Performance Optimization | Backend Engineer | Software Engineer,5,10
Quality Assurance Specialist,Intertrade Co.,"10th of Ramadan City, Sharqia",Experienced (Non-Manager),2 to 5 years,Chemistry | ISO | Engineering | Quality Assurance | Manufacturing | Mechanical Engineering | QA | quality | Quality Control | Testing | Home appliances | PVC | Polymers | Plastic | Gaskets | Management | Six Sigma | Continuous Improvement | QMS | TQM | Chemist | Quality Engineer | Inspection and Testing | Root Cause Analysis | Process Improvement | Technical Documentation | Statistical Process Control (SPC) | ISO 9001 Compliance | Problem Solving | Data Analysis | Cross-functional Collaboration | ISO9001 | HSE | Microsoft Office,2,5
Senior Data Scientist,Egabi FSI,"Sheraton, Cairo",Experienced (Non-Manager),More than 3 years,Computer Science | Data Mining | Data Science | data scientist | Hadoop | Machine Learning | Python | SQL | Spark,3,3
Machine Learning Engineer (Mid–Senior level),"Confidential Company - New Cairo, Cairo","New Cairo, Cairo",Experienced (Non-Manager),4 to 7 years,Computer Science | Engineering | Information Technology (IT) | Mechanical Engineering | Machine Learning,4,7
In-Process Control Quality Officer - Alex,Parkville Pharmaceutical...,"Bourj Alarab, Alexandria",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Quality Assurance | Pharmaceutical Industry | Quality Control | Quality Management System | Chemistry | Engineering | Manufacturing | Pharmaceutical | Pharmaceutical Sciences | Pharmacy,1,2
Oracle EBS HEMS techno. functional consultant,WSC,"Giza, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | EBS | Oracle | Oracle EBS | Functional Consulting | Technical Consulting | System Integration | Business Analysis | Requirements Gathering | Solution Design | Implementation | User Training | Problem Solving | Data Migration | Reporting,3,7
Quality Assurance & Food Safety Manager (Ain Sokhna),SAVOLA,"Ain Sokhna, Suez",Manager,7 to 10 years,Quality Assurance | Food Safety Management | Quality Control | Supplier Quality Management,7,10
Medical Representative - Giza,PRT Scientific Office,"Haram, Giza",Entry Level (Junior Level / Fresh Grad),0 to 5 years,Pharmacy | Veterinary | Medicine | Sales | Pharmaceutical | Cosmetics | Science | Sales Skills | Medical | Healthcare | Sales Target | Direct Sales | Cosmeceutical,0,5
Full Stack Developer,Roaya,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Computer Science | Information Technology (IT) | Software Development,1,2
Infection Control Specialist,Cleopatra Hospitals Grou...,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Infection Control | Quality Assurance | QA | Quality Control | infection control diploma,0,2
Human Resource Business Partner,Aman,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Human Resources (HR) | Recruitment,1,2
Technical Software Project Leader – Full Stack .NET,IKEN Technology,"Maadi, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Information Technology (IT) | JavaScript | Project | Software Development,3,5
Quality Control Manager,K Line Europe,"Nasr City, Cairo",Manager,8 to 10 years,Quality Assurance | Quality Control | Lean Six Sigma | Six Sigma Green Belt | Root Cause Analysis | 5S Lean Manufacturing Methodology | ISO 9001 | ISO 14001 | CPK | Certified Internal Auditor (CIA) | Internal Control | ERP System | Power BI | Team Coaching | Team Leadership | Performance Appraisals | Manufacturing Engineering | Manufacturing Process | Total Quality Management | Quality Auditing | Six Sigma,8,10
Assistant Global Managing Partner,CSI,"Heliopolis, Cairo",Experienced (Non-Manager),More than 5 years,Administration | Office management | English | Calendar Management | Business Administration | Detail Oriented,5,5
Game QA Project Manager,"Confidential Company - Sheraton, Cairo","Sheraton, Cairo",Manager,7 to 10 years,QA | Project Management | Computer Science | Software Development,7,10
Product Owner,"Confidential Company - Dokki, Giza","Dokki, Giza",Experienced (Non-Manager),3 to 7 years,Agile Methodologies | Computer Science | Software Development Life Cycle (SDLC) | Product Management | Scrum | Requirements Gathering | Stakeholder Management | JIRA | User Stories | Roadmapping | Data Analysis | Communication | Problem-Solving | Agile | Analysis | Information Technology (IT) | Product | Project Management | Software Development,3,7
UI Web Developer,Erpplus5,"Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Angular | AngularJS | Angular4 | Angular.js | Angular2 | Computer Science | Information Technology (IT) | UI | Web | Web Development | Software Development | UX Design | UX | ERP Solutions | Typescript | PrimeNG | Tailwind | RESTful APIs | Lazy Loading | SCSS | Github | Agile | ERP Development | Visual Studio Code | Postman | Swagger | PrimeIcons | Lucide | Angular CLI | API | Development | Git | CSS | Signals,3,7
AI Engineering Manager,Link Development,"Maadi, Cairo",Manager,5 to 10 years,AI | Computer Science | Engineering | Software Development | Information Technology (IT) | Algorithms | Azure | Cloud | Machine Learning | NLP | Python | Analysis | Project Management,5,10
Planning Specialist,Global Napi Pharmaceutic...,"6th of October, Giza",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Planning | Communication | Oracle | Microsoft Office | ERP System | Problem Solving,0,2
QA Senior Engineer,MCS Group,"Nasr City, Cairo",Experienced (Non-Manager),5 to 7 years,"Integrated Management Systems (IMS) | IMCA, API | Certified Internal Auditor | CAPA | 5-Why | Fishbone | FMEA methodology | Analysis | Engineering | Quality Assurance",5,7
IT Manager,etisal for advanced indu...,"6th of October, Giza",Manager,12 to 15 years,Computer Science | Information Technology (IT) | Computer Engineering,12,15
Enterprise Applications & Analytics Manager,Eagle Chemicals,"Heliopolis, Cairo",Manager,15 to 20 years,Applications | Computer Science | Customer Support | Engineering | Information Technology (IT) | Analysis | Communication | ERP | Management | Project Management,15,20
Incubation Program Lead,ITIDA,"6th of October, Giza",Experienced (Non-Manager),6 to 8 years,Computer Science | Information Technology (IT) | Startup | Reporting | AI and technologies | ecosystem,6,8
Sales Coordinator,Magico group,"Obour City, Cairo",Experienced (Non-Manager),5 to 15 years,Administration | Sales | Sales Coordination | Business Administration | Coordination | Customer Service | Microsoft Office | Sales Support | Sales Planning | Support Services | Technical Support | Document Control,5,15
"Software Test Engineer (Manual & Automation) (Full-Time, Remote)",iBrokerage Ltd.,"Cairo, Egypt",Experienced (Non-Manager),3 to 5 years,Automation | Information Technology (IT) | Computer Science | Quality Assurance | Quality Control | Software Tester,3,5
Sr.Full Stack Java Developer,Clinizone,"Sheraton, Cairo",Experienced (Non-Manager),6 to 7 years,"JWT/OAuth2 | Java | Software Development | JavaScript | RESTful  APIs and | Microservices | FHIR, HL7, DICOM, CDA, and IHE Profiles. | Maven/Gradle, and CI/CD tools | Angular | Computer Science | CSS3 | HTML5 | Git | Information Technology (IT) | MVC | SQL",6,7
IoT Platform & Product Development Engineer,Mobi Egypt,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,IOT | Internet of Things | IoT Platform | IoT Solutions | Embedded Systems | Cloud Computing | Microsoft Azure | AWS | Google Cloud Platform (GCP) | REST API | API Development | MQTT | HTTP | WebSocket | Microservices | Docker | Kubernetes | CI/CD | Git | Linux | Python | Java | Node.js | SQL | NoSQL | MongoDB | PostgreSQL | Data Analytics | Data visualization | Power BI | Device Management | Telemetry | DevOps | Agile | Computer Engineering,3,7
Data Analyst,TechJump,"Alexandria, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | Data Analysis | Information Technology (IT) | SQL | Python | Data Visualization | Statistical Analysis | Machine Learning Fundamentals | Database Management | Problem Solving | Critical Thinking | ETL,3,7
SAP FICO Consultant,MK Enterprise,"Downtown, Cairo",Experienced (Non-Manager),More than 2 years,SAP Fi | SAP | Information Technology (IT) | Computer Science | Accounting | SAP FICO | SAP Implementation | ABAP | Configuration | Finance | HCM | SD,2,2
Presales Consultant,Link Development,"Maadi, Cairo",Experienced (Non-Manager),7 to 10 years,Computer Science | Information Technology (IT) | Presales | Business Analysis | Consulting | Management | Sales | RFP | Software Implementation,7,10
Senior Full Stack Developer,ITIDA,"Smart Village, Giza",Experienced (Non-Manager),5 to 8 years,"Information Technology (IT) | design, development | Software Development | Digital Transformation | REST/GraphQL APIs | CI/CD pipelines and automated testing | Computer Science",5,8
Senior Sales account manger- ( Medical background),Nawah-Scientific,"Mokattam, Cairo",Experienced (Non-Manager),3 to 7 years,Sales | Pharmaceutical | Pharmaceutical Industries | Business Development | Outdoor Sales | Indoor Sales | Medical Sales,3,7
Production Planning Officer,El Mayhop for Food Indus...,"Alsadat City, Monufya",Experienced (Non-Manager),3 to 5 years,Logistics/Supply Chain | Quality Control/Food Industry | Engineering – Industrial/Production | Manufacturing | Production | Planning | Production Planning,3,5
Senior Data Scientist,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 5 years,English B2 | Machine Learning | Statistical Analysis | Python | gradient boosting algorithms | LLM | Generative AI technologies | Big Data Technologies | Algorithms | Big Data | Computer Science | Software Engineering | Docker | Information Technology (IT) | MongoDB | Software Development,5,5
R&D Specialist,Zeta Pharma,"Alsadat City, Monufya",Experienced (Non-Manager),2 to 5 years,GMP Knowledge | Microsoft Office | Development | Engineering | Pharmaceutical | Pharmacy | Research | GMP,2,5
Senior Full Stack Developer .Net + Angular,ICIS,"New Cairo, Cairo",Experienced (Non-Manager),More than 5 years,Engineering | Computer Science | Information Technology (IT) | SQL | Asp.Net | MVC | HTML5 | CSS | AJAX | jQuery | javaScript | XML | AngularJS | ASP.NET | Web Development | Web Design | .NET | Angularjs | Angular 6 | HTML | JavaScript | CSS3 | Wireframes | Visual Design | VSTS | C# | Angular | React | Software Development,5,5
HSE Manager,MATGR For Engineering An...,"New Cairo, Cairo",Manager,7 to 13 years,NEBOSH | ISO 45001 | ISO 14001 | organizational skills | Section head | Manufacturing Industry,7,13
Procurement Manager,Erada,"Maadi, Cairo",Manager,5 to 8 years,Procurement | Logistics | Purchasing | Supply Chain | IT | Software | Cloud Infrastructure | MBA | FinTech Procurement | SaaS | CIPS | Finance,5,8
Junior Manual QA Engineer,Vertex Technologies,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),More than 1 year,Manual Testing | Bug Tracking | Regression Testing | Analytical Thinking | Attention to Detail | SDLC Knowledge | Communication | Teamwork | Problem Solving | Test Case Design | API Testing | Computer Science | Engineering | Information Technology (IT) | Quality Control | QA | Software Development | SQL | Testing,1,1
"SEO, ASO & Growth Lifecycle Support Specialist",Sabika,"Maadi, Cairo",Experienced (Non-Manager),3 to 5 years,Adobe Photoshop | Digital Marketing | Facebook ads | SEO | Google Analytics | Marketing,3,5
Senior Business Developer,Procrew,"Alexandria, Egypt",Experienced (Non-Manager),More than 5 years,Business Development | Development | Information Technology (IT) | Sales | Computer Science | Engineering | Marketing | Software Development | Software Engineering,5,5
Assistant to Program Director - School of Engineering & Applied Sciences,Nile University,"Sheikh Zayed, Giza",Experienced (Non-Manager),2 to 4 years,Administration | Office management | Microsoft Office | Program Administration | Filing Systems | Official Letters | Student Activities | Student Services | Committee Support | Academic Operations | Moodle | Learning Management Systems | Coordination | Events Organizing | Event Coordination | Procurement | Financial Administration,2,4
Production Manager,"Confidential Company - khanka, Qalubia","khanka, Qalubia",Manager,More than 10 years,Engineering | Production | Manufacturing | Management | Communication Skills | Communication | TO | Skills | Furniture | English | Engineering Field | engineer | Sheet Metal | Assembly | Production Management | Lean Manufacturing | Manufacturing Operations | Manufacturing Industry | Textile Industry | automotive | manager | Product Development | Product | New Product Development | Production Engineering | Textile | leather | Garments,10,10
Senior Engineer - AI & Digital Transformation,"Confidential Company - Cairo, Egypt","Cairo, Egypt",Experienced (Non-Manager),4 to 7 years,Artificial Intelligence (AI) | Computer Science | Cloud | Programming Language | Software Development | DevOps | Machine Learning | Agile | AWS | Docker | Engineering | Information Technology (IT) | Software Engineering | SQL,4,7
Applied Scientist / ML Engineer,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),3 to 4 years,Computer Science | Data Science | Engineering | Information Technology (IT) | Machine Learning | Python,3,4
Senior Quality Assurance.,Kandil Steel,"Obour City, Cairo",Experienced (Non-Manager),3 to 5 years,QA | Quality Assurance,3,5
Quality Control Specialist - IPC,Fine Hygienic Holding,"Bourj Alarab, Alexandria",Experienced (Non-Manager),1 to 3 years,Quality Control | Agriculture | Chemistry | QC | Manufacturing | Quality Assurance | Pharmaceutical | Safety | Engineering | Cosmetics | MS Office | Data Analysis,1,3
Network Specialist,Egyptian Packaging and P...,"Manial, Cairo",Entry Level (Junior Level / Fresh Grad),2 to 4 years,Computer Engineering | Information Technology (IT) | Security | Computer Science | Network Engineering | Troubleshooting | Cisco Firewall | LAN | TCP/IP,2,4
Procurement Supervisor,Erada,"Maadi, Cairo",Experienced (Non-Manager),3 to 5 years,Procurement | Logistics | Purchasing | Supply Chain | IT | Software | Cloud Infrastructure | MBA | FinTech Procurement | SaaS | CIPS | Finance,3,5
IT Manager,"Confidential Company - 6th of October, Giza","6th of October, Giza",Manager,5 to 10 years,Computer Engineering | Computer Science | Information Technology (IT) | Project Management,5,10
Psychologist,Project HOPE Egypt,"Cairo, Egypt",Experienced (Non-Manager),3 to 5 years,Psychology | Clinical Psychology | Medical | Social Work | Physical Medicine | Medical Insurance,3,5
Operation Specialist,Orion,"Madinaty, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Networking | Fiber Optics | System Control,0,2
Data Protection Officer (DPO),Pharma Overseas,"New Cairo, Cairo",Experienced (Non-Manager),3 to 5 years,Data Protection | Data Privacy | PDPL | GDPR | Compliance | Information Security | Computer Science | Data Analysis | Data Entry | Microsoft Office,3,5
Product Specialist (Laboratory Medical Devices),ADI Egypt,"Cairo, Egypt",Experienced (Non-Manager),2 to 5 years,Product Management | Market Research | Cross-functional Collaboration | Data Analysis | Communication | Presentation Skills | Problem Solving | Customer Focus | Time Management | Biomedical | Biomedical Engineering | CRM | Engineering | Medical | Medical Devices | Microsoft Office | Pharmacy | Sales,2,5
Senior Web Developer,Madar Soft,"Fleming, Alexandria",Experienced (Non-Manager),3 to 5 years,Computer Science | Information Technology (IT) | Software Development | Web | CSS | JavaScript | MVC | Agile | Git | .NET Developer | SQL | jQuery | Computer Engineering | Engineering | Azure | Object-Oriented Programming | ONNX | ASP.net MVC | C#,3,5
AI Full-Stack Developer / AI Engineer,"Confidential Company - Cairo, Egypt","Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),1 to 2 years,AI | JavaScript | Software Development | Information Technology (IT) | AWS | Computer Engineering | Computer Science | Engineering | Programming | Python | Software Engineering,1,2
Data Protection Officer(DPO),MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),3 to 5 years,Cybersecurity | data protection,3,5
Quality Assurance Coordinator,Ibn Sina Pharma,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Quality Assurance | QA | Biochemistry | Materials Science | Documentation | Laboratory Skills | Problem-solving | Attention to Detail | Data Analysis | Communication | Compliance,1,2
IPM & Housekeeping Engineer,Beyti - an Almarai Subsi...,"Noubaria, Beheira",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Housekeeping | Quality Control,0,2
HR Data Analyst,Amreyah Cement,"Sheraton, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Analysis | Data Analysis | HR | Microsoft Power BI | Administration | Business Administration | Computer Science | Information Technology (IT) | Microsoft Excel | Recruitment | SQL,1,3
Junior Technical Facade Engineer,CPC,"Maadi, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 3 years,Aluminum & Glazing | Aluminum | Engineering | Facade Design | Structural Analysis | CAD Software | Material Science | Building Codes | Project Coordination | Technical Drawings | Problem-Solving | Attention to Detail | Façade Engineering,0,3
QA Professional Compliance Officer,APEX Pharma,"Badr City, Cairo",Experienced (Non-Manager),4 to 6 years,Quality Assurance | QA | Compliance | GMP | Science | Pharmacy | ISO | Analysis | Auditing | English | GDP | MS Office | Pharmaceutical | QMS | Organizational Skills | Documentation | Risk Assessment | CAPA | ALCOA++ principles,4,6
Data Analyst,Bokra,"Maadi, Cairo",Experienced (Non-Manager),3 to 7 years,Analysis | Business Intelligence | Computer Science | Data Analysis | Information Technology (IT) | Python | SQL | Data Visualization | Statistical Modeling | Problem-solving | Communication | Critical Thinking,3,7
Central Control Unit Operator,Wadi Group,"Sheikh Zayed, Giza",Experienced (Non-Manager),2 to 3 years,Computer Science | Information Technology (IT) | Software Engineering | Unit Testing | System Monitoring | Problem Solving | Troubleshooting | Command Line Interface (CLI) | Networking Fundamentals | Automation | Scripting | Data Analysis | Communication | Attention to Detail | Critical Thinking,2,3
Odoo ERP Developer,K Line Europe,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | ERP | Information Technology (IT) | Odoo | Odoo ERP | Software Development,3,7
Backend Node js Developer,Objects,"Alexandria, Egypt",Experienced (Non-Manager),3 to 7 years,Computer Science | Information Technology (IT) | Node.js | Software Development | Software Engineering | Computer Engineering | JavaScript | NestJS | Microservices Architecture | RabbitMQ | Kafka | MongoDB | PostgreSQL | MySQL | Redis | Docker | REST APIs | ITI | Agile,3,7
Senior Full Stack Developer,Bright Vision,"Giza, Giza",Experienced (Non-Manager),4 to 8 years,Computer Science | Information Technology (IT) | Software Development | Information Systems,4,8
IT Manager,"Confidential Company - Abu Rawash, Giza","Abu Rawash, Giza",Manager,11 to 13 years,Computer Science | Management | Administration | Networking | Computer Engineering | Information Technology (IT) | Project Management | IT Infrastructure Management | Team Leadership | Strategic Planning | Vendor Management | Budget Management | Risk Management | System Administration | Network Security | Cloud Computing,11,13
AI Lead,Efada Technology,"New Cairo, Cairo",Manager,More than 8 years,Data management | ETL processes | Data privacy and compliance | Data analysis | Cloud data platforms | Stakeholder communication | LLM | MLOPs | Python,8,8
Quality Assurance Specialist,Target for Chemicals ind...,"Bourj Alarab, Alexandria",Entry Level (Junior Level / Fresh Grad),0 to 2 years,QA | Quality Assurance | Quality Control | Auditing | ISO standards | Quality Assurance Methods | Manufacturing | Chemicals | Quality Management | Compliance,0,2
Network Support Specialist,IT Pillars,"Nasr City, Cairo",Experienced (Non-Manager),1 to 3 years,Network troubleshooting | Router and switch configuration | Network security | Problem-solving | Firewall management | TCP/IP protocols | Technical documentation | Customer support | Network monitoring | Team collaboration,1,3
Oracle APEX Developer,ICIS,"New Cairo, Cairo",Experienced (Non-Manager),5 to 8 years,Computer Science | CSS | PL/SQL | Oracle Database | Oracle | Software Development | SQL | Database | HTML | Information Technology (IT) | JavaScript | Oracle APEX,5,8
Backend Developer,Advanced Engineering Con...,"Giza, Egypt",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Software Development | Software Engineering,0,2
Marketing Manager,ArmyVerse,"Cairo, Egypt",Manager,6 to 10 years,Market Research | Social Media | Sales | Marketing,6,10
IT Help Desk Specialist,Erada,"Qena, Qena",Experienced (Non-Manager),2 to 4 years,Computer Science | Information Technology (IT) | Windows OS | Linux | MacOS | Networking | LAN | TCP/IP | DNS | DHCP | Troubleshooting | Ticketing Systems | Incident Management | Antivirus | Access Control | Software Installation | Configuration,2,4
ERP Specialist,"Confidential Company - Abu Rawash, Giza","Abu Rawash, Giza",Manager,5 to 10 years,ERP | Computer Science | Information Technology (IT) | ERP Software | Software Development,5,10
Technical Office Engineer,"Confidential Company - Mokattam, Cairo","Mokattam, Cairo",Experienced (Non-Manager),2 to 4 years,Technical Office | Engineering | AutoCAD | Civil Engineering | Computer Science | Construction | Information Technology (IT) | Microsoft Office | MS Office | Revit | Design | SAP | ETABS | Civil 3D | BOQ,2,4
Calibration Specialist,Mymsa For Agencies And T...,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Calibration | Physics | Engineering | Engineering Services | Engineering Service | Engineering Field,3,3
Senior Organizational Development.,Town Team,"Nasr City, Cairo",Experienced (Non-Manager),3 to 7 years,OD | Business Administration | Development | HR | Organizational Development | Human Resources Development | Human Resource Management (HRM) | Organisation Development | Learning and Development | Performance Appraisal | Performance Management | Strategic Planning | Change Management | Talent Management | Leadership Development | Coaching | Employee Engagement | Business Acumen | Computer Science | Information Technology (IT) | Design | Management | Software Development | Software Engineering,3,7
Artificial Intelligence & Programming Instructor (High School),Smart IT,"Nasr City, Cairo",Experienced (Non-Manager),3 to 7 years,Computer Engineering | Data Science | Machine Learning | Programming | Software Development | Artificial Intelligence (AI) | Educational Content Development | Learning Management Systems (LMS) | Problem Solving | Teaching | Online Teaching | Training | Presentation Skills | Data Structures | Communication Skills | python development | Python | Computer Science,3,7
Business Analyst Lead,Tawfeer,"Maadi, Cairo",Experienced (Non-Manager),5 to 7 years,SQL | Business Analysis | Analysis | Business Analytics | Data Visualization | Statistical Analysis | Performance Reporting | Data Management | Dashboard Development | Analytics | Commerce | Communication | Digital Marketing | E-Marketing | Marketing | Social Media | Business Development | Computer Science | Information Technology (IT),5,7
Mechanical Design Engineer,ALSAKR for Trading and M...,"10th of Ramadan City, Sharqia",Experienced (Non-Manager),2 to 5 years,SolidWorks | Mechanical Design Engineering | Machinery | Conveying | conveyor | AutoCAD | Design | Manufacturing,2,5
Senior Business Development Manager EdTech IGCSE,Jannah Integrated Soluti...,"Cairo, Egypt",Manager,5 to 8 years,Education Technology | Education Sales | IGCSE | Schools | Tutoring | B2B | Business Development | CRM | Marketing | Sales | EdTech,5,8
Senior Networking Engineer,Talaat Moustafa Group,"New Cairo, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Engineering | Information Technology (IT) | Networking | CCNA | CCNP | R&S | VoIP | WAN | IP | Network | Software Development | Troubleshooting | Routers | Switches | Access Points,3,5
Lead Geotechnical Design Engineer,EGEC,"Giza, Egypt",Experienced (Non-Manager),10 to 12 years,Geotechnical | Design | Civil Engineering | Computer Science | Geotechnical Engineering | Information Technology (IT) | Engineering | Software Development | Stakeholders,10,12
HSE Specialist,Egypt Gold,"Obour City, Cairo",Experienced (Non-Manager),2 to 4 years,"HSE | ISO | Health | Safety | ISO 14001 | Skills | quality | Quality Assurance | HSE Management | Environmental | Management | Quality Control | Manufacturing Industry | Manufacturing | Industrial Engineering | OSHA | Risk Assessment | Health, Safety and Environment | Occupational Safety and Health Administration (OSHA) | Health and Safety | Engineering | First Aid",2,4
Senior Java Developer,Egabi FSI,"Sheraton, Cairo",Experienced (Non-Manager),3 to 5 years,Engineering | Git | Information Technology (IT) | Java | OOP | Software | Computer Science | Software Engineering | Software Development | Web Development | SQL | Spring Boot | spring Framework | Object-Oriented Programming (OOP),3,5
Sales Account Manager,Misr International Syste...,"Sheikh Zayed, Giza",Experienced (Non-Manager),3 to 7 years,Sales Engineering | Marketing | Selling | IT solutions | Thales | Cybersecurity | System Integration | Sales | Sales Leads,3,7
Senior Frontend Developer- Angular,Egabi FSI,"Sheraton, Cairo",Experienced (Non-Manager),4 to 7 years,Computer Science | Information Technology (IT) | javaScript | CSS | CSS3 | Software Development | Angular2+ | Angular | Sass | UI | Development | OOP | REST | APIs | SEO | front-end | HTML5,4,7
Data analysis Instructor,Yat Learning Centers,"Heliopolis, Cairo",Experienced (Non-Manager),3 to 10 years,UI | UX | Graphic Design | UI/UX | figma | Teaching | instructor,3,10
Technical Office Engineer (Revit) (Interior scope),EGY UNIFORM ARCHITECTS +...,"Nasr City, Cairo",Experienced (Non-Manager),4 to 7 years,Revit | Revit BIM | BIM Modeling | Engineering | Architectural Engineering | Microsoft Office | Architecture | AutoCAD | Computer Science | Construction | Design,4,7
Data analysis Instructor,Yat Learning Centers,"Heliopolis, Cairo",Experienced (Non-Manager),3 to 10 years,UI | UX | Graphic Design | UI/UX | figma | Teaching | instructor,3,10
Data Analysis,Mani Group,"Nasr City, Cairo",Experienced (Non-Manager),More than 2 years,Analysis | Data Analysis | Computer Science | Financial | BI | Banking | Information Technology (IT) | Power BI | SQL,2,2
Senior Procurement Engineer (Raw Material),Amreyah Cement,"Cairo, Egypt",Experienced (Non-Manager),3 to 5 years,Procurement | Purchasing | Raw Materials | Manufacturing | Communication | Computer Science | Supply Chain | Engineering | ERP | Information Technology (IT) | MS Office | Oracle | SAP | Software Development,3,5
Quality Assurance Engineer,Kandil Glass,"10th of Ramadan City, Sharqia",Experienced (Non-Manager),3 to 5 years,Quality Standards & Systems | Documentation & Compliance | Audit readiness | Process Improvement | Quality Assurance | Quality Control | ISO standards | Root Cause Analysis | Risk Assessment | Analyze quality data | prepare reports | Analysis | Engineering | ISO 9001 | Management | Manufacturing | Microsoft Office | Six Sigma,3,5
Senior VAS Engineer,Efada Technology,"6th of October, Giza",Experienced (Non-Manager),4 to 6 years,Computer Science | Engineering | Information Technology (IT) | Software Development | VAS | REST | SQL | Linux | UI | JavaScript | HTML | CSS | Front-End Development | Networking | Python,4,6
QA/ Process Improvement Specialist (Not a software testing position),Fixed Solutions,"Cairo, Egypt",Experienced (Non-Manager),3 to 5 years,Quality Assurance | Process Engineering | CMMI | MS Office | QA | Computer Science | Analysis | Six Sigma | Quality Control | Business Intelligence,3,5
IT Operations Specialist,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),2 to 3 years,Configuration | Information Technology (IT) | ServiceNow | JIRA | Data visualization | Power BI | Tableau | Ticketing Systems | Warehouse Configuration | Microsoft Office 365 | Computer Science | CCNA,2,3
Technical Support Specialist,Talaat Moustafa Group,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Technical Support | HelpDesk | Hardware Maintenance | Communication | Computer Science | Customer Care | Customer Service | Customer Support | Engineering | Troubleshooting | MCSA,1,3
MIS Manager,Etisalat Egypt,"Cairo, Egypt",Manager,4 to 10 years,Computer Science | Information Technology (IT) | Project Management | MIS,4,10
